Contig	SRR5004095_bt2-counts.txt	SRR5004096_bt2-counts.txt	SRR5004097_bt2-counts.txt	SRR5004091_bt2-counts.txt	SRR5004078_bt2-counts.txt	SRR5004080_bt2-counts.txt	SRR5004093_bt2-counts.txt	SRR5004090_bt2-counts.txt	SRR5004082_bt2-counts.txt	SRR5004083_bt2-counts.txt	SRR5004085_bt2-counts.txt
contig#1	73	53	287	496	83	257	605	39	60	30	75
contig#10	93	127	452	493	98	285	465	86	96	33	102
contig#100	209	319	649	934	210	455	924	205	254	83	320
contig#1000	576	969	1351	2302	677	1508	2319	733	879	231	1053
contig#10000	22	26	319	327	31	223	413	11	13	8	16
contig#10001	59	145	100	179	77	72	152	62	58	32	104
contig#10002	49	61	181	190	52	94	225	71	41	41	66
contig#10004	57	53	253	324	39	196	270	26	64	12	72
contig#10005	33	27	144	157	17	99	169	20	32	12	36
contig#10006	271	330	445	583	151	291	710	81	155	42	186
contig#10007	19	1	62	34	4	292	256	42	16	0	0
contig#10008	1	11	141	163	5	97	132	3	8	1	9
contig#10009	24	62	190	243	49	69	123	13	28	7	23
contig#1001	143	181	819	1154	125	539	1272	88	98	47	171
contig#10010	104	158	295	457	80	241	407	94	117	47	170
contig#10011	36	92	119	140	39	78	106	49	69	33	94
contig#10012	668	802	2245	3314	794	1716	4323	306	378	237	545
contig#10013	301	689	330	923	542	663	1370	217	628	295	1025
contig#10014	83	216	777	1379	313	445	1496	85	107	30	207
contig#10015	2142	1630	1701	3641	2406	1361	5325	607	1039	558	1242
contig#10016	13	11	39	66	10	55	59	16	16	3	25
contig#10017	18	48	38	87	21	52	48	35	35	6	57
contig#10018	2	9	2	2	2	10	6	1	2	0	4
contig#1002	4	0	5	13	0	40	24	2	1	0	2
contig#10020	5	5	4	14	1	13	19	2	2	0	4
contig#10021	15	15	191	234	17	122	210	8	19	11	31
contig#10022	255	407	1544	2216	275	1243	2286	179	249	104	422
contig#10023	128	110	1129	1405	112	874	1532	81	89	52	175
contig#10024	238	154	127	218	271	183	250	15	10	72	17
contig#10025	17	13	20	16	2	17	18	12	13	4	13
contig#10026	2	2	1	5	7	8	15	0	2	2	0
contig#10027	85	86	160	232	56	130	281	22	50	17	77
contig#10028	42	55	266	279	36	136	298	23	39	11	66
contig#10029	12	33	297	225	8	523	319	14	28	0	20
contig#1003	138	93	1001	1465	136	518	1774	53	66	29	97
contig#10030	25	37	397	378	21	235	413	21	36	5	31
contig#10031	181	198	143	204	123	76	143	155	188	52	163
contig#10032	27	84	236	341	25	167	287	50	61	30	75
contig#10033	11	11	16	24	8	13	25	13	17	9	20
contig#10034	91	87	74	284	153	249	614	25	68	27	106
contig#10035	283	380	241	395	228	175	299	358	405	104	460
contig#10036	5	5	21	33	3	36	41	5	8	4	7
contig#10037	130	257	423	641	119	253	485	163	306	106	273
contig#10038	79	87	272	482	66	308	633	38	85	18	131
contig#10039	22	25	154	202	29	51	211	9	9	12	8
contig#1004	49	117	176	266	48	139	198	70	48	47	102
contig#10040	95	238	89	137	97	122	102	114	162	59	200
contig#10041	30	22	172	214	27	147	320	22	31	18	30
contig#10042	9	15	18	31	7	38	74	24	20	7	22
contig#10043	229	233	598	787	207	401	767	123	245	39	221
contig#10044	94	159	373	429	94	250	353	94	100	64	130
contig#10045	257	378	694	1023	235	653	1144	191	382	67	448
contig#10046	263	345	879	1880	329	937	2157	39	560	178	694
contig#10047	2	8	12	10	6	4	15	1	7	1	3
contig#10048	13	35	53	65	13	18	66	9	20	12	50
contig#10049	12	6	8	30	13	17	17	7	11	6	9
contig#1005	126	196	406	511	96	281	501	90	132	77	170
contig#10050	278	160	519	672	159	482	923	113	258	22	210
contig#10051	25	5	65	90	21	105	208	28	9	0	14
contig#10052	7	12	22	30	8	61	81	11	9	1	13
contig#10053	250	379	604	771	225	309	604	163	187	177	239
contig#10054	64	92	228	329	63	98	326	42	60	18	121
contig#10055	23	22	53	108	28	68	180	12	22	4	31
contig#10056	89	298	426	742	115	343	386	236	179	81	297
contig#10057	134	208	371	531	100	333	410	128	276	118	215
contig#10058	58	55	613	809	65	484	1144	52	68	8	52
contig#10059	52	101	177	238	50	141	262	40	48	22	50
contig#1006	312	345	466	818	359	529	706	95	108	179	237
contig#10060	14	11	1	41	124	43	42	1	11	7	66
contig#10061	47	30	47	105	50	62	170	21	28	12	35
contig#10062	70	127	453	559	68	230	485	25	67	28	117
contig#10063	46	42	278	478	64	222	613	28	43	7	62
contig#10064	17	10	39	76	15	30	134	5	9	2	15
contig#10065	8	24	40	80	19	68	145	1	8	2	23
contig#10066	4	4	9	7	0	11	32	1	0	1	0
contig#10067	39	41	87	130	29	55	88	27	28	29	35
contig#10068	51	79	405	615	64	282	708	41	60	15	94
contig#10069	27	10	242	261	18	166	353	27	34	4	28
contig#1007	514	324	279	1001	1121	732	2405	117	372	110	564
contig#10070	27	42	312	603	78	423	990	18	38	9	92
contig#10071	58	82	161	208	49	197	190	59	85	36	45
contig#10072	28	34	149	217	38	81	253	5	11	3	31
contig#10073	71	71	333	400	55	171	423	41	77	28	88
contig#10074	1	7	97	84	2	161	93	4	11	1	11
contig#10075	161	333	555	783	188	345	683	202	208	92	265
contig#10076	71	44	309	309	32	131	365	42	57	27	49
contig#10077	81	158	340	470	81	329	565	49	98	42	133
contig#10078	137	137	794	1196	118	795	1225	103	143	22	235
contig#10079	45	19	83	80	17	91	206	24	60	9	63
contig#1008	2412	3538	7252	11914	2802	5741	11869	1609	2202	1284	3215
contig#10080	291	691	212	683	407	301	388	462	787	214	805
contig#10081	46	37	706	564	22	426	674	60	50	5	34
contig#10082	258	278	870	1244	171	611	1056	186	286	76	368
contig#10083	142	105	202	534	120	372	874	34	86	29	94
contig#10084	2	1	6	1	2	15	17	6	0	0	1
contig#10085	68	78	224	241	50	134	258	47	70	27	66
contig#10086	10	12	50	84	22	56	137	2	6	6	30
contig#10087	22	47	107	170	39	70	182	22	49	22	42
contig#10088	5	12	29	29	10	21	42	1	2	1	6
contig#10089	182	284	310	656	253	472	1069	108	231	52	343
contig#1009	1	3	52	66	7	48	107	2	3	1	7
contig#10090	122	123	606	741	104	391	795	71	120	40	209
contig#10091	24	33	18	74	25	49	63	6	26	20	44
contig#10092	7	10	37	78	5	27	61	11	10	3	20
contig#10093	430	429	1528	2101	315	708	2248	178	302	131	401
contig#10094	372	101	1378	1892	224	173	1574	24	30	76	6
contig#10095	108	182	232	302	94	163	261	68	95	30	129
contig#10096	43	82	384	286	31	269	321	23	62	9	32
contig#10097	14	9	17	45	16	31	35	3	4	2	9
contig#10098	52	41	93	128	56	102	95	22	9	30	28
contig#10099	56	34	282	379	45	217	495	18	62	7	46
contig#101	22	23	43	59	31	23	64	9	17	6	21
contig#1010	880	1458	2757	4565	956	2258	4699	807	1136	340	1631
contig#10100	19	17	63	58	18	28	61	10	17	10	28
contig#10101	9399	10161	2511	3472	4925	2434	2765	9480	10382	10602	7416
contig#10102	323	305	1429	2203	333	1205	2553	204	259	104	387
contig#10103	27	44	13	16	18	28	45	2	17	16	21
contig#10104	117	85	90	155	95	110	113	17	21	42	14
contig#10105	2	33	4	2	2	30	10	3	15	1	7
contig#10106	17	17	133	190	25	85	235	8	28	2	18
contig#10107	14	27	13	20	15	17	14	22	40	25	28
contig#10108	84	127	370	454	73	187	401	67	85	40	117
contig#10109	365	164	102	223	501	248	1240	33	178	61	191
contig#1011	53	66	376	506	51	385	652	33	34	13	71
contig#10110	1	1	38	32	3	15	41	4	3	1	4
contig#10111	5	9	22	46	6	12	28	6	6	2	3
contig#10112	9	7	49	49	16	42	129	10	11	1	11
contig#10113	9	4	63	73	16	115	135	56	26	0	12
contig#10114	8	12	67	40	12	43	93	1	6	1	12
contig#10115	71	46	29	104	258	81	223	17	65	7	68
contig#10116	12	37	257	224	10	152	53	62	10	3	25
contig#10117	22	33	65	81	38	37	116	6	29	7	18
contig#10118	520	209	230	455	408	416	2426	85	182	43	227
contig#10119	27	23	81	108	18	68	112	13	29	1	37
contig#1012	16	60	72	118	13	74	71	18	29	8	49
contig#10120	112	145	1437	1285	28	484	520	91	33	9	75
contig#10121	26	15	56	81	16	54	90	12	9	6	11
contig#10122	53	72	142	159	25	75	136	36	73	18	58
contig#10123	72	40	113	266	86	180	502	34	61	13	66
contig#10124	529	563	1173	1685	347	676	1495	309	621	186	518
contig#10125	26	26	187	581	81	359	972	24	32	9	104
contig#10126	16	17	159	330	15	246	175	10	5	2	12
contig#10127	47	41	41	44	37	46	65	36	49	20	31
contig#10128	198	299	804	928	142	449	769	147	278	80	318
contig#10129	172745	194295	34399	53264	101968	54620	35273	184068	189790	214073	145915
contig#1013	340	717	1094	2907	542	1786	3786	137	1616	247	1191
contig#10130	94	64	582	775	103	410	568	22	20	13	30
contig#10131	97	91	589	772	81	343	910	46	61	40	105
contig#10132	40	39	412	351	27	199	369	24	38	10	46
contig#10133	132	85	121	219	125	127	371	66	91	26	69
contig#10134	15	18	56	91	18	55	99	7	7	5	13
contig#10136	89	77	706	807	79	423	935	71	209	24	96
contig#10137	17	18	182	232	18	110	310	6	22	3	43
contig#10138	39	228	219	174	65	365	267	53	182	16	149
contig#10139	2	8	28	31	12	16	26	13	1	0	5
contig#1014	26	4	50	60	9	40	74	5	13	2	20
contig#10140	186	221	671	824	160	389	977	132	183	84	235
contig#10141	234	171	151	275	162	156	344	100	182	50	177
contig#10142	79	116	203	288	64	147	345	61	111	33	102
contig#10143	5	1	11	7	2	1	6	2	2	0	2
contig#10144	2	1	28	15	0	7	23	0	5	0	0
contig#10145	29	86	123	221	49	72	121	51	95	23	106
contig#10146	47	47	246	287	32	186	332	34	64	13	37
contig#10147	30	23	187	244	32	229	445	15	39	8	43
contig#10148	70	82	975	1386	59	803	1474	40	68	16	186
contig#10149	215	383	563	876	199	544	983	188	501	111	546
contig#1015	104	124	385	551	113	253	647	60	112	34	152
contig#10151	60	80	293	479	66	394	512	57	80	18	96
contig#10152	53	3	176	100	11	358	536	77	82	0	15
contig#10153	189	252	529	751	159	284	698	125	228	93	232
contig#10154	29	34	98	168	23	78	146	24	42	17	42
contig#10155	851	357	504	475	597	147	1189	153	200	626	113
contig#10156	45	85	69	288	75	297	297	25	72	35	88
contig#10157	80	163	56	162	137	116	137	50	117	31	244
contig#10158	122	110	615	741	90	333	787	72	121	28	132
contig#10159	26	17	205	237	21	141	281	36	63	6	44
contig#1016	7511	11125	11831	21788	7867	9621	19729	4650	4924	4759	6493
contig#10160	35	62	101	156	44	54	122	38	44	9	76
contig#10161	63	165	365	902	106	398	861	75	146	34	248
contig#10162	105	66	92	261	103	52	316	10	45	20	82
contig#10163	64	70	140	166	54	75	140	47	60	30	75
contig#10164	16	75	490	618	60	234	522	8	24	0	26
contig#10165	384	263	267	361	354	236	294	51	11	272	18
contig#10166	76	66	194	296	64	200	440	28	113	5	48
contig#10167	3	0	8	8	2	4	8	0	0	0	0
contig#10168	11	2	14	12	5	7	10	6	3	1	10
contig#10169	36	62	208	238	33	130	222	38	31	26	48
contig#1017	28	53	265	436	28	447	438	58	84	1	82
contig#10170	19	26	280	230	26	155	319	16	25	2	19
contig#10171	13	16	58	84	17	35	94	8	19	5	22
contig#10172	59	86	70	70	95	71	89	46	56	30	56
contig#10173	19	22	18	43	17	25	36	27	26	21	25
contig#10174	12	6	11	28	9	34	23	5	4	3	17
contig#10175	4	9	35	41	6	39	71	11	11	1	16
contig#10176	20	85	44	63	40	39	66	23	46	16	68
contig#10177	25	39	21	43	22	13	25	17	39	13	42
contig#10178	59	6	52	139	32	93	100	11	26	5	10
contig#10179	1	2	12	21	3	7	14	2	1	0	1
contig#1018	895	673	1553	3177	861	860	4188	183	388	238	543
contig#10180	59	50	213	229	50	102	333	24	45	26	52
contig#10181	11	37	44	71	31	18	25	0	10	1	62
contig#10182	1	0	13	15	2	24	21	9	8	0	3
contig#10183	65	100	419	448	95	380	901	74	110	25	66
contig#10184	14	31	66	102	15	63	105	23	27	6	35
contig#10185	45	39	135	145	46	59	157	30	47	12	55
contig#10186	28	14	132	214	32	42	215	4	5	9	3
contig#10187	38	73	266	344	33	181	348	48	49	9	62
contig#10188	31	52	30	32	17	24	35	22	39	16	31
contig#10189	268	307	907	1163	177	746	1179	233	328	45	305
contig#1019	33	68	260	381	42	241	448	26	68	17	105
contig#10190	189	265	61	88	141	79	96	130	280	90	224
contig#10191	78	111	284	327	60	182	368	81	135	39	125
contig#10192	20	0	13	67	15	30	24	4	2	1	5
contig#10193	151	220	564	781	136	501	719	115	171	49	180
contig#10194	61	144	86	147	43	73	112	60	55	28	95
contig#10195	11	2	157	55	15	109	124	9	1	0	18
contig#10196	539	817	862	1383	541	822	1331	267	675	140	631
contig#10197	93	109	435	701	121	351	738	104	125	14	166
contig#10198	104	137	502	634	94	348	738	81	112	23	128
contig#10199	3	0	14	8	0	5	12	1	1	0	1
contig#102	18	11	27	51	9	44	18	4	19	2	16
contig#1020	12	8	68	86	6	190	28	9	2	0	4
contig#10200	24	56	105	117	26	96	127	14	45	16	49
contig#10201	44	170	59	159	71	96	189	73	142	62	189
contig#10202	71	34	25	28	45	36	103	11	30	5	30
contig#10203	126	264	378	472	124	219	391	148	192	93	250
contig#10204	11	3	12	14	15	14	12	5	2	7	1
contig#10205	137	621	248	243	143	260	229	206	264	96	483
contig#10206	39	92	167	197	41	164	202	58	67	23	106
contig#10207	10	17	55	106	13	88	109	18	12	1	24
contig#10209	71	158	313	346	80	179	281	95	130	63	142
contig#1021	949	640	2155	3656	1071	795	3177	252	379	374	487
contig#10210	194	307	822	989	172	566	801	124	157	56	293
contig#10211	151	155	372	517	131	216	458	99	158	44	179
contig#10212	10	9	9	17	10	28	13	5	22	9	17
contig#10213	79	66	437	694	102	406	888	53	114	29	109
contig#10214	19	30	32	40	31	51	46	29	44	12	36
contig#10215	11	40	245	446	23	345	696	12	28	6	80
contig#10216	159	248	462	698	180	306	572	143	190	77	251
contig#10217	360	569	2051	2422	367	1255	2076	317	320	222	513
contig#10218	15	33	42	85	19	35	78	11	28	5	21
contig#10219	163	270	479	686	174	292	613	142	226	73	218
contig#1022	333	468	1366	1653	229	1480	1612	210	346	70	411
contig#10220	1	3	14	4	3	13	17	2	2	0	1
contig#10221	25	28	201	196	14	150	216	8	28	4	23
contig#10222	64	46	98	141	41	111	337	32	41	5	60
contig#10223	30	50	147	295	38	189	416	42	26	14	48
contig#10224	15	12	51	83	16	65	108	10	8	12	7
contig#10225	37	71	188	299	34	163	213	37	55	21	79
contig#10226	72	45	124	199	69	114	168	14	10	27	27
contig#10227	69	111	283	461	63	210	495	79	98	33	96
contig#10228	66	105	124	201	73	80	187	80	73	33	82
contig#10229	306	59	313	675	176	159	1032	13	40	52	68
contig#1023	3682	5036	12661	17925	3862	11034	18428	2538	3685	1656	5217
contig#10230	127	146	752	1009	95	623	1401	100	177	31	192
contig#10231	16	15	64	89	12	47	98	6	18	0	15
contig#10232	36	64	66	214	94	74	219	26	33	13	59
contig#10233	21	22	83	146	12	66	130	16	35	4	34
contig#10234	1	1	5	8	1	11	15	0	1	0	1
contig#10235	51	25	65	83	20	61	94	17	44	6	32
contig#10236	213	157	313	484	135	281	492	113	159	25	183
contig#10237	1	2	6	1	0	2	0	0	1	0	0
contig#10238	18	0	62	50	4	155	173	39	59	0	14
contig#10239	4	4	21	25	4	14	31	5	4	1	4
contig#1024	107	105	567	705	73	338	825	64	73	26	112
contig#10240	6	4	89	93	0	85	99	3	4	3	7
contig#10241	275	248	176	325	223	221	423	123	243	62	311
contig#10242	114	84	221	232	153	91	285	13	14	14	7
contig#10243	195	311	572	856	187	416	823	192	233	132	278
contig#10244	30	81	148	163	18	92	95	42	47	11	65
contig#10245	26	50	541	669	28	548	980	35	41	12	80
contig#10246	51	64	215	268	37	91	244	34	51	22	75
contig#10247	78	142	171	219	84	161	224	78	110	33	179
contig#10248	14	0	82	205	18	38	146	1	0	5	88
contig#10249	28	56	50	84	24	39	68	41	41	7	41
contig#1025	619	465	1807	2252	430	1799	3501	297	534	185	435
contig#10250	30	14	381	553	43	124	903	9	22	2	20
contig#10251	93	95	383	422	86	160	340	74	83	30	112
contig#10252	91	182	294	440	99	238	303	120	108	70	198
contig#10253	222	203	629	773	121	294	707	68	124	29	162
contig#10254	86	14	124	230	28	157	302	39	18	9	7
contig#10255	40	4	23	79	7	48	49	0	0	0	0
contig#10256	6	14	36	86	11	47	63	3	4	0	8
contig#10257	83	211	173	345	114	193	329	77	107	31	201
contig#10258	7	14	20	33	9	10	8	9	15	4	17
contig#10259	8	6	17	20	3	15	24	11	5	0	5
contig#1026	627	944	2732	4021	907	3485	3821	741	710	191	871
contig#10260	11	23	29	22	7	12	18	15	28	4	21
contig#10261	53	47	453	587	96	403	596	66	28	10	63
contig#10262	239	15	168	266	103	267	230	42	5	1	41
contig#10263	6	13	22	27	7	8	13	7	11	3	7
contig#10264	69	97	127	186	78	67	153	51	108	29	110
contig#10265	81	91	78	137	49	104	179	50	66	18	84
contig#10266	62	61	600	677	40	450	677	39	39	25	51
contig#10267	229	381	385	694	274	452	521	236	285	112	385
contig#10268	156	261	218	405	118	218	358	148	246	57	370
contig#10269	23	41	23	37	25	21	35	24	29	29	40
contig#1027	143	187	478	814	163	306	738	92	93	55	156
contig#10270	99	144	332	470	98	207	411	68	125	32	129
contig#10271	7	9	481	559	7	172	594	3	0	2	5
contig#10272	238	321	525	750	201	323	578	167	259	86	378
contig#10273	512	409	762	1181	396	736	1742	217	434	96	434
contig#10274	304	518	1011	1345	215	626	1417	208	311	146	401
contig#10275	31	12	153	220	20	167	258	9	13	7	45
contig#10276	25	24	134	128	72	41	133	16	25	1	37
contig#10277	243	259	180	348	128	261	333	162	253	101	198
contig#10278	3	7	22	28	2	18	13	5	9	3	8
contig#10279	122	31	288	421	75	74	566	5	29	14	29
contig#1028	601	754	6342	7817	586	3725	6083	484	531	164	961
contig#10280	275	190	366	355	273	295	516	77	72	65	84
contig#10281	317	580	1505	2054	317	940	1729	224	316	163	539
contig#10282	38	24	295	350	30	180	415	34	41	26	57
contig#10283	4	5	13	18	1	18	18	0	0	0	1
contig#10284	4	8	29	68	5	92	93	9	10	1	8
contig#10285	328	69	405	376	152	270	1452	21	31	13	30
contig#10286	20129	18436	4015	5845	11144	5440	4928	18585	17153	17984	10568
contig#10287	27	38	248	310	39	62	420	20	32	5	56
contig#10288	58	31	365	485	39	234	411	20	49	14	78
contig#10289	48	80	435	482	24	283	488	46	44	12	97
contig#1029	37	66	137	319	40	191	272	27	63	27	88
contig#10290	5	16	41	52	1	25	35	8	14	4	14
contig#10291	2	1	20	21	1	21	21	2	7	1	0
contig#10292	84	85	422	539	65	202	505	60	94	21	90
contig#10293	84	64	1206	1275	57	674	1965	88	125	13	92
contig#10294	272	477	383	539	202	340	537	206	401	92	386
contig#10295	55	83	962	714	12	280	135	120	44	11	33
contig#10296	467	655	347	457	501	157	320	148	92	512	141
contig#10298	11	19	63	77	15	52	87	10	18	4	25
contig#10299	10	8	6	16	10	8	41	9	9	2	14
contig#103	43243	46770	8149	13635	24577	12870	8676	35921	45693	51982	29359
contig#1030	1133	3438	6275	13922	3543	8568	21352	970	2710	813	4357
contig#10300	23	16	38	62	10	24	50	11	22	3	12
contig#10301	218	356	1142	1636	245	736	1726	205	191	104	310
contig#10302	1094	61	52	219	834	228	8149	18	146	15	107
contig#10303	317	311	230	462	335	293	454	62	47	160	57
contig#10304	49	87	58	104	67	40	110	50	89	16	98
contig#10305	28	43	53	86	18	46	72	7	32	12	32
contig#10306	83	164	277	353	85	187	295	95	112	55	230
contig#10307	7	5	24	12	5	138	147	44	16	0	3
contig#10308	20	13	45	48	10	37	69	2	17	2	18
contig#10309	75	98	175	275	123	84	222	32	62	63	41
contig#1031	51	53	347	411	47	271	619	34	67	12	103
contig#10310	47	74	309	317	49	184	405	24	31	21	62
contig#10311	19	24	43	70	8	31	41	30	38	10	43
contig#10312	8	14	100	100	7	56	103	7	12	5	9
contig#10313	30	31	104	123	23	58	145	21	13	12	25
contig#10314	217	292	399	549	134	278	442	113	210	73	247
contig#10315	105	141	475	794	71	258	868	40	59	29	106
contig#10316	15	23	26	34	7	15	19	15	10	6	14
contig#10317	36	160	78	104	79	66	60	79	81	68	82
contig#10318	58	133	147	221	55	119	223	55	91	31	112
contig#10319	139	62	420	594	85	229	641	22	27	30	12
contig#1032	529	739	1672	1832	593	1422	2071	656	674	98	850
contig#10320	29	40	314	420	23	177	443	24	51	4	52
contig#10321	29	25	74	80	43	68	169	5	11	7	9
contig#10322	9	19	36	46	1	21	58	23	8	1	24
contig#10323	336	676	1594	2074	334	985	1851	300	475	138	618
contig#10324	47	74	326	426	48	188	432	16	47	7	47
contig#10325	18	16	107	129	38	72	171	17	9	1	22
contig#10326	5	18	16	18	4	11	22	18	18	1	16
contig#10327	8	19	25	31	7	8	22	17	17	1	15
contig#10328	206	256	369	460	207	255	545	82	202	45	347
contig#10329	125	549	171	598	83	273	114	76	446	35	338
contig#1033	6	3	48	62	11	20	102	4	10	0	10
contig#10330	109	171	703	954	111	647	1030	85	158	30	252
contig#10331	133	144	368	623	111	267	729	126	132	67	179
contig#10332	37	24	64	75	58	59	89	20	26	22	18
contig#10333	49	65	136	140	32	77	135	32	42	16	50
contig#10334	19	3	82	71	10	113	191	24	13	0	2
contig#10335	13	39	31	34	16	14	23	12	30	3	28
contig#10336	23	13	188	206	17	96	202	14	20	3	31
contig#10337	20	38	86	97	28	42	127	17	24	7	36
contig#10338	3	2	11	11	3	7	11	1	5	1	2
contig#10339	21	26	20	46	15	32	40	10	16	5	36
contig#1034	146	116	572	636	98	378	538	81	137	49	138
contig#10340	38	69	141	161	48	78	99	21	78	21	66
contig#10341	12	15	52	69	13	66	115	24	30	2	14
contig#10342	13	6	11	13	4	41	18	5	3	0	5
contig#10343	141	207	269	467	125	184	293	76	195	68	165
contig#10344	89	31	388	675	36	232	448	20	8	8	54
contig#10345	4	1	16	9	3	11	34	15	4	0	5
contig#10346	54	98	318	389	49	196	398	44	38	23	68
contig#10347	150	190	816	955	149	610	1077	105	156	62	203
contig#10348	77	90	159	212	69	136	199	61	78	28	115
contig#10349	40	96	98	147	50	117	170	34	68	15	97
contig#10350	2	15	1	115	0	0	0	1	16	4	5
contig#10351	32	16	72	88	22	60	96	13	27	6	27
contig#10352	141	171	62	176	113	138	1268	37	50	18	66
contig#10353	17	10	28	23	8	17	14	7	18	7	23
contig#10354	15	12	30	80	16	61	125	4	6	1	22
contig#10355	25	23	82	111	23	43	73	10	22	10	37
contig#10356	997	727	2236	1169	457	1072	4004	108	240	191	203
contig#10357	29	32	208	295	18	159	403	9	40	11	35
contig#10358	143	170	504	749	150	384	789	86	135	63	156
contig#10359	2	12	7	10	0	11	6	3	4	0	7
contig#1036	2	6	71	75	11	40	72	2	7	2	5
contig#10360	79	129	237	348	82	229	307	73	99	29	123
contig#10361	121	5	65	219	45	250	112	24	5	0	51
contig#10362	279	136	432	753	233	180	1099	32	55	52	111
contig#10363	547	598	439	577	420	213	554	279	445	152	719
contig#10364	41	81	160	232	52	83	263	29	49	25	59
contig#10365	22	36	15	22	16	24	9	13	18	1	36
contig#10366	141	305	147	282	189	158	229	133	314	34	229
contig#10367	132	130	788	1049	170	574	1768	68	99	25	155
contig#10368	109	121	652	1035	96	341	996	57	103	36	122
contig#10369	437	565	740	1224	336	697	1596	303	366	148	523
contig#1037	7	4	3	6	7	2	9	3	15	3	11
contig#10370	181	252	804	1130	196	364	1192	106	124	70	171
contig#10371	211	254	1147	1525	225	927	2037	124	189	56	255
contig#10372	500	590	604	432	247	297	561	124	169	153	197
contig#10373	443	507	1132	1896	484	550	1789	269	335	160	538
contig#10374	20	24	181	189	31	111	220	16	16	7	26
contig#10375	59	125	141	366	81	247	418	12	177	34	204
contig#10376	24	27	105	144	13	70	128	11	28	14	34
contig#10377	51	83	61	74	42	42	59	56	73	25	124
contig#10378	11	11	77	88	9	67	113	6	15	1	7
contig#10379	41	43	166	254	39	179	377	32	30	13	57
contig#1038	411	662	888	1375	409	953	1488	256	608	132	785
contig#10380	132	172	541	680	93	370	580	87	111	33	132
contig#10381	83	82	330	420	89	256	454	42	73	49	93
contig#10382	45	105	303	278	39	177	206	72	55	26	88
contig#10383	93	74	614	612	71	308	538	54	62	43	83
contig#10384	138	96	374	526	167	294	491	42	47	72	81
contig#10385	118	185	568	680	87	388	610	99	127	29	135
contig#10386	48	90	226	364	39	167	331	45	48	14	83
contig#10387	58	54	138	213	40	150	266	30	56	18	36
contig#10388	181	273	283	335	124	241	303	178	474	158	369
contig#10389	109	143	393	556	117	334	725	68	65	53	95
contig#1039	46	43	167	322	47	145	319	15	43	13	56
contig#10390	8	0	13	15	1	11	34	1	3	1	0
contig#10391	29	21	79	167	22	78	132	19	38	13	45
contig#10392	149	167	334	562	151	333	467	128	154	36	207
contig#10393	3	4	35	35	2	27	51	2	4	0	4
contig#10394	7	10	58	85	7	47	58	13	10	1	11
contig#10395	220	513	475	1135	327	623	976	245	399	83	673
contig#10396	30	26	126	138	39	142	226	69	47	5	75
contig#10397	80	82	72	113	31	116	129	33	97	12	103
contig#10398	184	148	626	917	168	428	1204	98	123	29	154
contig#10399	2	2	5	8	3	9	3	3	17	1	0
contig#104	1195	1845	4898	14337	3548	10287	23810	618	2742	589	4138
contig#1040	393	747	1921	2841	416	1732	3080	426	604	174	865
contig#10400	5	8	10	10	1	8	12	12	16	4	9
contig#10401	3	4	11	10	1	8	19	0	2	0	4
contig#10402	107	210	229	384	150	121	263	104	141	108	187
contig#10403	3	0	26	37	2	20	39	0	2	0	1
contig#10405	43	66	136	191	51	81	192	44	53	34	58
contig#10406	43	68	212	319	56	141	370	35	54	15	62
contig#10407	18	20	49	74	35	40	106	4	24	0	37
contig#10408	2	10	10	60	2	28	35	3	16	2	10
contig#10409	1	0	11	10	0	10	15	9	2	0	0
contig#1041	24	26	53	66	30	28	40	29	35	13	38
contig#10410	100	342	89	184	42	168	97	39	243	21	160
contig#10411	66	65	275	404	44	225	413	34	65	23	86
contig#10412	4	7	20	16	4	4	8	5	8	2	9
contig#10413	50	40	124	107	35	70	92	10	42	1	59
contig#10414	405	426	525	930	306	599	938	295	650	130	540
contig#10415	45	224	53	70	41	247	64	70	60	28	39
contig#10416	59	83	319	333	56	241	284	46	76	20	107
contig#10417	40	77	66	136	28	118	183	34	93	28	103
contig#10418	238	328	497	684	221	378	759	184	210	87	216
contig#10419	112	98	474	665	77	346	750	85	112	29	119
contig#1042	6	1	14	28	4	8	27	10	8	0	2
contig#10420	163	241	573	785	193	511	963	109	138	82	225
contig#10421	195	275	364	611	173	345	492	165	267	99	290
contig#10422	375	299	954	1220	236	647	1487	263	475	89	396
contig#10423	357	57	49	146	486	243	2251	7	111	19	135
contig#10424	49	110	352	437	86	276	484	54	110	20	136
contig#10425	112	37	132	219	132	228	1095	15	55	8	49
contig#10426	72	74	25	66	81	43	76	42	111	25	105
contig#10427	52	99	830	1303	28	572	926	88	91	13	163
contig#10428	240	267	199	300	121	214	211	158	297	52	347
contig#10429	134	207	279	475	119	223	434	93	142	51	167
contig#1043	53	65	342	447	40	333	528	29	45	21	107
contig#10430	156	278	203	346	187	182	203	126	112	158	134
contig#10431	169	381	474	670	142	282	456	113	186	89	191
contig#10432	77	100	423	573	59	287	534	56	118	20	122
contig#10433	114	240	158	313	117	109	230	121	155	67	205
contig#10434	4	6	142	153	4	185	170	14	7	1	4
contig#10435	22	36	67	89	20	38	83	20	33	20	22
contig#10436	17	11	56	67	8	76	82	11	11	2	24
contig#10437	6	1	4	8	7	7	16	2	4	2	4
contig#10438	119	219	183	280	85	121	171	94	170	58	217
contig#10439	1	2	16	23	0	19	30	3	0	0	7
